,Genomes ,Genera,Selections,Color
Alpha,1709,197,32,gray0
Beta,1092,114,30,gray22
Gamma,7731,240,19,gray44
Delta,185,56,10,gray87
Actino,4055,191,25,lightblue2
Acido,25,12,25,darkorange2
Firm,8668,233,25,yellowgreen
Verr,36,9,36,mediumorchid3
Plancto,29,12,29,darkolivegreen4
